x,y,id
-113.917076,176.78421,35
-106.611404,188.33385,35
-99.11631,171.90845,35
-101.90635,183.78307,35
-97.85901,185.1407,35
-96.94851,169.96585,35
-97.607796,169.0395,35
-102.416855,174.88692,35
-97.57775,177.87125,35
-97.73909,177.4176,35
-95.70575,171.08678,35
-99.4663,177.72298,35
-99.41225,174.80328,35
-99.434685,167.91283,35
-100.33336,176.18643,35
-89.13313,184.82918,35
-87.39304,176.72998,35
-78.679214,169.2213,35
-83.0331,168.2667,35
-86.75513,179.68968,35
-76.16473,175.04704,35
-80.351555,165.80508,35
-80.86362,166.99435,35
-76.780045,161.15506,35
-74.66973,162.92252,35
-72.38864,165.29523,35
-65.987755,168.74493,35
-70.585144,155.8497,35
-60.367622,151.75331,35
-68.78454,160.53479,35
-71.95565,167.125,35
-70.25818,158.88498,35
-69.085976,165.00095,35
-66.91389,150.12924,35
-66.720985,160.30957,35
-63.92984,158.9241,35
-69.41349,154.24174,35
-66.60162,159.80159,35
-58.253708,147.8405,35
-64.82139,156.31013,35
-62.16036,143.06999,35
-58.18756,141.93024,35
-55.72002,145.64296,35
-60.94853,128.35367,35
-61.984306,141.22935,35
-56.094837,139.62454,35
-46.28319,138.99861,35
-53.739735,139.77127,35
-52.074944,136.65994,35
-45.5636,137.91724,35
-45.982563,129.9357,35
-50.08113,129.66513,35
-55.91262,131.17009,35
-54.874443,133.12921,35
-50.55558,139.04024,35
-44.787903,139.21152,35
-46.161243,127.132095,35
-50.8069,131.7701,35
-38.52337,129.88116,35
-45.353687,132.64539,35
-50.290367,121.98247,35
-39.20676,127.37145,35
-41.82293,127.40967,35
-32.4425,124.95932,35
-41.88392,116.91129,35
-37.08152,117.54423,35
-28.956766,129.32411,35
-33.643223,121.52552,35
-26.387835,125.43084,35
-22.208801,105.00291,35
-23.025608,111.210175,35
-24.363718,114.34372,35
-21.006659,104.69975,35
-21.798546,101.63303,35
-31.294437,109.072716,35
-31.353107,106.044304,35
-17.610023,112.49961,35
-27.632996,108.999535,35
-27.567478,94.60774,35
-28.506653,108.83178,35
-30.693502,89.91506,35
-17.912905,89.88273,35
-12.496197,104.147675,35
-31.910318,92.725044,35
-21.192642,113.40165,35
-20.875034,90.845184,35
-22.720966,92.143036,35
-26.128338,81.81492,35
-34.687775,79.86132,35
-26.901293,79.56569,35
-19.302212,75.31122,35
-30.169939,75.44408,35
-39.162,84.91065,35
-35.817924,75.64542,35
