idx,label,location.lat,location.long
0,0,-134.99924,204.29562
0,0,-129.91164,203.16106
0,0,-126.56013,202.68445
0,0,-124.49103,202.66707
0,0,-123.25066,202.91019
0,0,-122.38535,203.21506
0,0,-121.006134,201.91258
0,0,-118.871666,202.70137
0,0,-115.29192,203.04546
0,0,-112.50819,202.7707
0,0,-111.24659,201.07959
0,0,-111.57151,200.83629
0,0,-112.798805,199.5622
0,0,-112.67505,198.86401
0,0,-114.87152,197.50174
0,0,-115.67466,197.7496
0,0,-115.52659,195.37944
0,0,-113.85573,196.88048
0,0,-110.81189,195.7757
0,0,-107.41081,197.14343
0,0,-105.62129,199.01132
0,0,-103.66367,200.80399
0,0,-100.281654,202.48358
0,0,-96.94654,203.92903
0,0,-95.47825,202.022
0,0,-92.105995,203.64247
0,0,-92.56375,205.79639
0,0,-91.61106,207.88493
0,0,-92.532486,208.86551
0,0,-91.52854,211.46088
0,0,-92.58468,213.57835
0,0,-92.62666,215.77074
0,0,-89.50569,217.07765
0,0,-87.466156,212.98192
0,0,-83.73275,207.66463
0,0,-80.58214,206.8889
0,0,-78.35281,205.06424
0,0,-77.04218,202.84958
0,0,-75.61361,202.40738
0,0,-73.5203,201.45474
0,0,-73.80461,203.11746
0,0,-71.405304,204.62564
0,0,-71.00787,204.22389
0,0,-69.211914,201.05083
0,0,-66.498184,199.35646
0,0,-64.05582,199.60802
0,0,-60.925694,199.8444
0,0,-60.30633,200.79799
0,0,-57.04787,204.68434
0,0,-55.558857,207.3596
0,0,-52.715355,210.92122
0,0,-49.12105,211.98067
0,0,-48.076878,213.6247
0,0,-46.25534,216.26622
0,0,-44.756214,219.15227
0,0,-44.60322,221.88902
0,0,-45.054935,226.08517
0,0,-46.76858,229.57912
0,0,-46.971844,235.15514
0,0,-46.23619,239.01741
0,0,-44.443405,242.50023
0,0,-42.804737,244.59396
0,0,-40.91998,246.16452
0,0,-39.737587,246.50127
0,0,-38.337276,246.51117
0,0,-36.424904,246.6994
0,0,-34.00633,246.58356
0,0,-32.820408,245.94537
0,0,-31.479687,244.50972
0,0,-28.978111,244.84074
0,0,-27.356157,244.9028
0,0,-25.402817,245.8276
0,0,-23.422256,246.80135
0,0,-21.079906,245.21375
0,0,-19.972519,245.65352
0,0,-17.49971,249.21269
0,0,-15.048718,251.38095
0,0,-15.505253,253.75793
0,0,-15.046034,255.27164
0,0,-14.580896,256.39197
0,0,-14.473667,257.65884
0,0,-14.115008,258.6581
0,0,-13.069401,257.87872
0,0,-11.262253,256.6374
0,0,-9.113031,256.70657
0,0,-6.2175775,259.35367
0,0,-4.351464,261.65244
0,0,-3.4142785,264.35434
0,0,-1.213169,265.33746
0,0,0.060741685,266.8513
0,0,1.2840163,268.1276
0,0,3.8695607,268.2487
0,0,4.9472322,268.30566
0,0,7.5646105,270.05676
0,0,10.610022,271.01868
0,0,11.939738,272.65546
0,0,12.373579,275.7544
0,0,12.707106,277.9239
0,0,12.005253,280.47742
0,0,11.182798,284.37817
0,0,11.500136,286.91678
0,0,12.866075,287.24985
0,0,13.640201,287.80826
0,0,14.941021,288.95898
0,0,17.676155,287.1092
0,0,18.363644,286.06577
0,0,20.372711,286.01453
0,0,20.685743,285.74808
0,0,22.08873,285.04373
0,0,23.449207,284.30637
0,0,25.030825,285.33856
0,0,27.119638,283.88614
0,0,28.796284,283.58237
0,0,30.61153,285.3694
0,0,32.465366,285.6882
0,0,32.858288,286.58267
0,0,33.7783,288.32034
0,0,34.30014,291.0831
0,0,34.49429,289.9115
0,0,35.503586,291.05975
0,0,34.472336,290.40524
0,0,34.59696,289.40787
0,0,34.99722,288.8989
0,0,35.68993,289.89886
0,0,37.074383,290.54944
0,0,40.017376,292.2019
0,0,40.985268,292.96188
0,0,43.607044,293.5648
0,0,44.89736,292.9516
0,0,47.089626,293.56845
0,0,48.41409,292.21292
0,0,50.64272,294.4995
0,0,53.815292,294.47433
0,0,55.695305,295.35443
0,0,58.49327,296.90903
0,0,61.58935,300.65756
0,0,63.07287,298.8744
