idx,label,location.lat,location.long
0,0,-159.29453,227.80467
0,0,-155.3327,221.35112
0,0,-147.82755,219.26929
0,0,-138.1555,220.5387
0,0,-127.69306,224.13884
0,0,-117.81667,229.04924
0,0,-113.10663,238.25252
0,0,-114.742714,234.75002
0,0,-110.41097,238.40428
0,0,-110.05939,234.67119
0,0,-110.43079,231.1514
0,0,-110.094505,234.21587
0,0,-106.08425,236.94171
0,0,-110.02202,240.7188
0,0,-102.304565,236.2668
0,0,-97.642365,236.40654
0,0,-101.76481,238.90102
0,0,-105.35907,235.94252
0,0,-105.66147,243.90591
0,0,-103.43141,236.19485
0,0,-101.49255,231.23872
0,0,-94.013145,230.95413
0,0,-89.20001,230.62999
0,0,-86.01599,232.35257
0,0,-81.380775,232.03218
0,0,-74.4718,237.59341
0,0,-74.992455,240.47496
0,0,-74.37415,248.11021
0,0,-71.770355,261.58673
0,0,-67.51231,245.08742
0,0,-69.16325,227.91359
0,0,-68.23938,219.70622
0,0,-69.88396,208.38205
0,0,-69.99072,203.05261
0,0,-65.49056,195.62732
0,0,-62.76639,197.18529
0,0,-62.16531,198.05014
0,0,-56.66524,211.47896
0,0,-50.804287,225.18718
0,0,-46.191654,223.03815
0,0,-48.455013,223.1695
0,0,-44.722164,232.53688
0,0,-43.90058,236.4057
0,0,-43.780178,242.11012
0,0,-44.33374,238.5556
0,0,-43.191723,244.70305
0,0,-44.632076,245.17412
0,0,-41.322018,244.77643
0,0,-40.180256,238.61362
0,0,-36.849163,233.84076
0,0,-33.941307,231.38809
0,0,-27.349537,233.78618
0,0,-25.711105,239.78233
0,0,-24.61474,240.7896
0,0,-24.127348,254.95656
0,0,-25.51743,250.75249
0,0,-25.836721,248.30087
0,0,-24.556917,238.80896
0,0,-23.035027,229.91609
0,0,-18.855322,228.43631
0,0,-17.354704,234.87737
0,0,-17.602001,232.838
0,0,-15.633559,235.85818
0,0,-16.30488,241.42717
0,0,-16.916843,248.02673
0,0,-18.421787,243.91095
0,0,-14.146859,239.57898
0,0,-10.505974,227.01666
0,0,-4.5367384,225.24951
0,0,-0.7841469,230.24396
0,0,-1.3883122,236.27402
0,0,1.9838288,228.56078
0,0,8.289523,236.96552
0,0,8.575835,233.7369
0,0,10.407245,228.61604
0,0,12.440304,235.18571
0,0,14.4135685,228.20622
0,0,13.318389,228.558
0,0,11.009643,239.03006
0,0,9.350707,236.35847
0,0,7.3890705,234.04211
0,0,7.05475,236.24132
0,0,9.817558,234.77864
0,0,13.067928,224.20822
0,0,16.113916,220.99635
0,0,19.249357,223.33728
0,0,22.708624,227.66693
0,0,26.345665,235.86273
0,0,26.627441,247.579
0,0,30.207617,246.2544
0,0,29.36117,248.29489
0,0,29.543034,251.2044
0,0,35.705482,239.02931
0,0,37.33705,235.31578
0,0,36.528442,228.71727
0,0,36.732388,222.61139
0,0,39.42847,219.26244
0,0,44.297604,224.8461
0,0,42.578415,229.2908
0,0,46.46336,235.73285
0,0,52.3847,236.58382
0,0,55.52453,234.36908
0,0,60.902763,234.28165
0,0,65.049614,238.50908
0,0,66.57023,232.65036
0,0,66.49158,227.42204
0,0,69.12214,228.7313
0,0,69.23083,240.07454
0,0,64.54984,219.11511
0,0,62.559517,204.5596
0,0,64.27228,190.637
0,0,62.928753,186.85133
0,0,63.504784,184.30168
0,0,67.351715,179.58981
0,0,62.81854,175.20555
0,0,64.4298,186.62772
0,0,62.799168,196.55211
0,0,63.761982,210.42651
0,0,65.36872,201.43167
0,0,67.34381,212.21135
0,0,72.42672,204.8577
0,0,73.02476,199.64612
0,0,71.07939,192.15456
0,0,75.92639,203.63425
0,0,69.6661,181.56668
0,0,75.73064,167.7358
0,0,73.70608,154.95322
0,0,77.03523,152.82248
0,0,86.395256,160.18657
0,0,87.27099,168.8497
0,0,88.74291,161.63031
0,0,86.19004,173.05711
0,0,81.87107,196.16315
0,0,88.40651,214.79608
0,0,80.43704,194.38539
0,0,88.85738,188.26738
0,0,91.77752,185.55002
0,0,92.68841,183.56686
0,0,92.8096,177.66425
0,0,91.262405,174.56216
0,0,93.861465,176.59697
0,0,89.10714,172.10234
0,0,84.90237,179.0339
0,0,84.78327,158.13249
0,0,75.64343,144.29344
0,0,77.814316,136.55496
0,0,75.22929,132.97614
0,0,71.35321,138.98094
0,0,66.76677,139.70343
0,0,71.99056,156.76894
0,0,73.4742,172.59981
0,0,75.85745,175.1997
0,0,79.23921,190.38586
0,0,85.1939,177.9399
0,0,86.11553,176.3206
0,0,80.490875,177.97568
0,0,74.56802,177.75339
0,0,70.98957,188.74568
0,0,68.64625,190.0983
0,0,70.284004,194.16241
0,0,73.62423,192.54756
0,0,78.0357,189.25352
0,0,83.92973,187.24791
0,0,89.36388,182.81075
0,0,96.286476,175.08546
0,0,99.53794,161.26662
0,0,103.85392,145.87796
0,0,103.4764,141.49344
0,0,111.80659,134.80261
0,0,110.00733,136.3436
0,0,113.629524,143.24423
0,0,110.27323,158.05107
0,0,116.52895,173.48918
0,0,115.57369,190.81868
0,0,119.648994,197.6654
0,0,121.129196,192.95546
0,0,115.3821,181.01057
0,0,110.46443,175.30756
0,0,110.547195,172.616
0,0,100.32065,172.59273
0,0,99.91877,165.21497
0,0,96.56294,171.44151
0,0,101.67214,160.36893
0,0,100.07567,161.5102
0,0,96.972115,151.44716
0,0,96.84291,150.02573
0,0,96.299934,146.25294
0,0,105.52684,147.35916
0,0,104.19378,153.92003
0,0,99.48327,152.09528
0,0,101.08075,154.64256
0,0,103.166336,163.36824
0,0,102.18387,151.23244
0,0,101.03652,156.82814
0,0,102.00909,149.08032
0,0,106.594376,154.29411
0,0,111.371704,150.01498
0,0,118.283226,141.64032
