id,avg_distance_to_hull,diameter,time_ratio_spent_on_right_side
0,103.39510580160339,170.9540985851667,0.0
1,125.86897175267912,134.0811908719992,0.0
2,111.56602066193423,444.017852171084,0.6575
3,125.01217228936868,455.5620804095015,0.4925
4,71.54362545677058,208.5408219619913,0.0
5,171.9076975802488,236.4965824643834,0.06
6,126.11260130550949,358.68862715262566,0.22
7,108.8178793717488,395.4528394072103,0.3675
8,81.61382311971786,152.8233024823049,0.0
9,35.90875544219057,238.52857569062544,0.0
10,113.65623025264246,486.23188749325993,0.6925
11,111.26727409929546,249.72913790948027,0.0
12,123.54228179095979,156.91277201626394,0.0
13,94.10405146064828,259.44187795866674,0.0
14,183.55912558173725,285.12568190710437,0.6075
15,107.9545520366705,467.1137407912833,0.61
16,90.62482920499286,304.7013569056162,0.08
17,121.84066234433438,225.60312510325127,0.0
18,84.18984069597822,393.7501042586085,0.0
19,109.06670430536877,297.087355560555,0.0
20,80.71513345184002,314.8355634708832,0.0
21,86.49877231483566,429.5335188372739,0.0
22,113.36198874438658,267.6733965760403,0.0
23,80.22625237608757,470.96398305328086,0.3275
24,100.0856440957372,534.9522408485693,0.415
25,88.43762123124671,430.95504545996994,0.1425
26,129.17815677998394,500.7215354229932,0.5775
27,66.05921273719301,600.4907720872026,0.3825
28,81.02133256329574,615.8018712449774,0.4975
29,82.5679656288872,430.82133283863203,0.0025
30,63.41057083999544,317.21159104423515,0.0
31,96.20268167561815,488.642536868735,0.3175
32,73.26150307186816,352.67056568742896,0.0
33,138.73718007413314,327.44604276348156,0.2025
34,81.46681678901919,525.3957034240773,0.0625
35,64.54396287908114,383.0030660440874,0.0
36,75.90095078115095,347.4473970244397,0.0
37,79.05655937126086,337.7747172503905,0.0
38,83.99179209869676,579.4172101500882,0.4925
