id,avg_distance_to_hull,diameter,time_ratio_spent_on_right_side
0,68.12649953407684,366.77363555346165,0.0
1,79.55424588900303,673.4751765922096,0.2775
2,54.4874282510959,522.2751087472838,0.0325
3,91.84115147467463,524.9165411764695,0.2375
4,135.24602129470858,434.7124075963813,0.3575
5,91.47791370720967,567.3433882659925,0.3
6,92.85006142739614,475.7323153216289,0.0925
7,115.61231796123236,521.3125631067288,0.45
8,93.12168264203085,335.9354567489018,0.0
9,117.35550620846068,381.98232321889344,0.0025
10,127.9976739449878,447.7859255170318,0.4875
11,129.68588570315558,422.3781567391206,0.43
12,89.56676262143348,474.42045490377757,0.0025
13,99.5233375368522,502.567133689099,0.4325
14,105.75648396485921,523.6621066846602,0.515
15,122.89707830909425,544.4811306545143,0.2825
16,107.57771098061113,409.3644204634037,0.0125
17,122.57294774994126,431.89638588618726,0.435
18,61.97328317201783,388.08627178807063,0.0
19,74.2577786172014,266.39441639007686,0.0
20,126.98783553187688,327.94680862814,0.205
21,71.8974068316784,305.4736140114924,0.0
22,108.01472160478916,232.7991847299424,0.0
23,157.65928572273958,213.2006267250687,0.0
24,90.94247920396845,513.9719956858113,0.5575
25,115.1046461023886,275.4098691585588,0.0025
26,108.06551154273187,166.68981743736003,0.0
27,112.96857987764109,158.6216066664846,0.0
28,120.34157374708877,470.991808489603,0.4975
29,148.32550858341486,329.5477587457548,0.3575
30,77.44599253087227,722.8001102371118,0.6675
31,83.2826647852427,201.35214503563117,0.0
32,133.6626783473094,295.789978589258,0.2775
33,92.95631718447041,333.09117116216635,0.0025
34,119.48767294385782,494.65583611272064,0.505
35,102.13751543071126,369.65902593783585,0.2675
36,122.71536929805384,276.74447209782323,0.0025
37,97.34421419917842,367.8587930244379,0.36
38,115.96387620481865,176.95051345139186,0.0
