id,x,y
0,-120.415375,192.24759
0,-119.250626,196.38475
0,-123.83889,202.04813
0,-119.09309,204.04956
0,-113.35407,189.89816
0,-115.12697,193.12451
0,-110.719086,197.6926
0,-107.05317,191.55676
0,-98.114624,190.9308
0,-96.63502,187.64864
0,-96.81108,196.0777
0,-92.52843,201.28748
0,-91.59452,193.5689
0,-90.735756,201.0795
0,-92.738625,200.04361
0,-87.956345,203.1612
0,-90.0091,202.83757
0,-90.25326,207.11487
0,-87.083786,203.92355
0,-85.382065,207.68867
0,-84.24071,208.907
0,-77.51276,208.9254
0,-73.728355,218.58855
0,-74.83021,214.43236
0,-66.94017,219.54213
0,-69.940414,220.75752
0,-66.95757,226.74074
0,-64.21466,227.50685
0,-60.131992,232.92674
0,-62.181526,228.79666
0,-59.902203,244.5638
0,-56.48272,237.27625
0,-53.366013,242.78638
0,-50.485226,240.47943
0,-47.341675,246.6593
0,-45.67182,244.52614
0,-44.843994,248.17833
0,-45.0384,253.11745
0,-48.578903,252.90799
0,-40.313927,260.20786
0,-43.90896,258.50793
0,-38.362984,258.218
0,-38.477688,253.07333
0,-33.396248,256.2619
0,-35.802887,261.65005
0,-32.458813,260.19824
0,-24.007101,265.1569
0,-24.277168,267.19043
0,-22.677212,273.3422
0,-14.337564,269.1303
0,-16.013176,268.24057
0,-18.178146,266.35965
0,-15.881114,272.842
0,-17.364368,273.89264
0,-10.770387,271.37268
0,-2.6276023,275.17682
0,-3.814223,278.07327
0,-0.82993114,277.56253
0,4.0061436,283.06027
0,10.084158,278.38687
0,10.001188,276.0231
0,13.749758,286.66403
0,17.94976,284.53735
0,21.951633,291.0971
0,22.826828,277.2355
0,23.725302,285.2005
0,24.762121,295.10025
0,28.473574,288.20657
0,24.881933,293.52032
0,28.76836,286.4045
0,23.046112,289.3454
0,28.836136,291.54074
0,27.610273,281.46326
0,30.864271,281.72443
0,35.082367,277.09973
0,45.16124,285.0302
0,40.081043,289.72977
0,42.081055,280.9714
0,43.81428,286.3233
0,49.246845,283.1115
0,58.02077,279.07047
0,57.28281,288.0882
0,61.468143,286.6784
0,63.68615,286.13602
0,64.064735,275.677
0,64.04221,277.78824
0,68.70369,279.32117
